,Unnamed: 0,0,token_text
0,0,哇,['哇']
1,1,通報好像有人對這篇文章有新想法唷快來去看看,"['通報', '好像', '有', '人', '對', '這', '篇', '文章', '有', '新', '想法', '唷', '快', '來去', '看看']"
2,2,這裡又不是廢文版,"['這裡', '又', '不', '是', '廢文版']"
3,3,我也從通知進來惹,"['我', '也', '從', '通知', '進來', '惹']"
4,4,就想說無聊測試看看啊畢竟要進入不容易跟我一樣是從通知進來的就想說刷個存在感,"['就', '想說', '無聊', '測試', '看看', '啊', '畢竟', '要', '進入', '不', '容易', '跟', '我', '一樣', '是', '從', '通知', '進來', '的', '就', '想說', '刷', '個', '存在感']"
5,5,現在才用沒仔細看直接拿來用被涼涼的嚇死好不習慣拿到夜用的直接失眠,"['現在', '才', '用', '沒', '仔細', '看', '直接', '拿來', '用', '被', '涼涼', '的', '嚇死', '好不', '習慣', '拿到', '夜', '用', '的', '直接', '失眠']"
6,6,寫,['寫']
7,7,我睡不著,"['我', '睡', '不', '著']"
8,8,寫,['寫']
9,9,不懂睡不著,"['不', '懂', '睡', '不', '著']"
10,10,期待下次的參與,"['期待', '下', '次', '的', '參與']"
11,11,超棒希望之後還可以參加可以在更大的場館或更多天吧讓更多人都能參加高雄場高雄場高雄場,"['超棒', '希望', '之後', '還可以', '參加', '可以', '在', '更', '大', '的', '場館', '或', '更多', '天', '吧', '讓', '更多', '人', '都', '能', '參加', '高雄場', '高雄場', '高雄場']"
12,12,我這裡還有兩個有人要嗎,"['我', '這裡', '還', '有', '兩', '個', '有', '人', '要', '嗎']"
13,13,樓上想要,"['樓上', '想要']"
14,14,可是妳遇的到我嗎,"['可是', '妳', '遇', '的', '到', '我', '嗎']"
15,15,我也樂意幫忙,"['我', '也', '樂意', '幫忙']"
16,16,我也想要,"['我', '也', '想要']"
17,17,可是見不到面啊哈哈,"['可是', '見', '不', '到', '面', '啊', '哈哈']"
18,18,喔那你問幹嘛,"['喔', '那', '你', '問', '幹嘛']"
19,19,笑死想換個資被打槍,"['笑死', '想', '換', '個', '資', '被', '打槍']"
